,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Bam,29.106,58.357,292.56,18,0,1.65,IR,1615479966
284,Yankton,42.8711,-97.3973,276.15,81,1,6.17,US,1615479967
285,Alyangula,-13.8483,136.4192,297.15,100,57,3.5,AU,1615479969
286,Klaksvík,62.2266,-6.589,278.15,87,40,3.6,FO,1615479970
287,Pangai,-19.8,-174.35,298.9,63,0,4.37,TO,1615479971
288,Coxim,-18.5067,-54.76,303.99,58,100,1.93,BR,1615479973
289,Lewiston,44.1003,-70.2148,283.15,61,75,3.09,US,1615479974
290,Rāvar,31.2656,56.8055,290.8,23,9,0.77,IR,1615479976
291,Agüimes,27.9054,-15.4461,294.15,49,0,3.09,ES,1615479977
292,Carnarvon,-24.8667,113.6333,299.15,78,1,7.72,AU,1615479979
293,Batagay-Alyta,67.8006,130.4114,245.89,72,100,2.64,RU,1615479980
294,Araouane,18.9048,-3.5265,302.6,13,0,8.45,ML,1615479982
295,Maceió,-9.6658,-35.7353,304.15,55,40,5.14,BR,1615479933
296,Bubaque,11.2833,-15.8333,301.06,48,57,3.87,GW,1615479985
297,Tuatapere,-46.1333,167.6833,279.82,92,72,0.89,NZ,1615479986
298,Lebu,-37.6167,-73.65,289.93,61,13,6.52,CL,1615479988
299,Yelizovo,53.1873,158.3805,270.15,100,40,2.0,RU,1615479989
300,Kuril'sk,45.2333,147.8833,269.15,93,50,3.82,RU,1615479991
301,Nokaneng,-19.6667,22.2667,300.55,47,49,0.61,BW,1615479992
302,Nome,64.5011,-165.4064,242.15,76,1,1.58,US,1615479994
303,Aswān,24.0934,32.907,306.09,10,0,4.52,EG,1615479843
304,San Quintín,30.4833,-115.95,286.36,60,58,1.35,MX,1615479996
305,Watrous,51.6668,-105.4679,259.15,72,0,1.54,CA,1615479998
306,Ardahan,41.1087,42.7022,270.64,96,100,1.27,TR,1615479999
307,Chkalovsk,56.7647,43.2433,265.15,53,0,4.0,RU,1615480001
308,Ahipara,-35.1667,173.1667,288.33,88,2,2.21,NZ,1615480002
309,Aklavik,68.2191,-135.0107,256.15,85,90,12.86,CA,1615480004
310,Carahue,-38.7,-73.1667,290.15,67,20,3.09,CL,1615480005
311,Pisco,-13.7,-76.2167,298.71,88,40,4.63,PE,1615480006
312,Avera,33.194,-82.5271,294.26,49,40,5.14,US,1615480008
313,Bengkulu,-3.8004,102.2655,298.17,87,84,1.19,ID,1615480009
314,Biak,-0.9131,122.8766,298.3,79,64,1.41,ID,1615480011
315,Luancheng,37.8792,114.6517,280.15,87,5,2.0,CN,1615480012
316,Mabaruma,8.2,-59.7833,300.15,83,75,3.09,GY,1615480014
317,Novomichurinsk,54.0384,39.7479,256.09,90,0,2.31,RU,1615479734
318,Aktas,49.7789,72.9608,264.15,79,75,10.0,KZ,1615480016
319,Arroyo de la Encomienda,41.6096,-4.7969,288.15,62,40,8.75,ES,1615480018
320,Picayune,30.5255,-89.6795,297.04,74,0,4.46,US,1615480020
321,Boende,-0.2167,20.8667,306.15,50,63,0.92,CD,1615480021
322,Mojo,8.6,39.1167,295.15,33,40,5.14,ET,1615480023
323,Konya Province,38.1667,32.5,276.15,81,75,11.83,TR,1615480024
324,Amahai,-3.3333,128.9167,300.01,80,97,0.82,ID,1615480026
325,Luganville,-15.5333,167.1667,298.89,85,85,3.52,VU,1615480027
326,Novyy Urgal,51.0736,132.5642,259.18,86,0,0.19,RU,1615480029
327,Wagar,16.1525,36.2032,308.06,18,0,6.44,SD,1615480030
328,Juba,4.8517,31.5825,308.22,22,73,1.34,SS,1615480032
329,Sitka,57.0531,-135.33,274.15,86,90,1.54,US,1615480033
330,Margate,51.3813,1.3862,280.93,71,84,4.47,GB,1615480035
331,Sinnamary,5.3833,-52.95,299.29,87,92,6.1,GF,1615480036
332,Deputatsky,69.3,139.9,249.82,97,100,1.55,RU,1615480038
333,Changli,39.7042,119.1506,279.86,77,0,1.17,CN,1615480039
334,Blagoyevo,63.3667,47.9167,259.58,85,25,3.35,RU,1615480041
335,Gönen,40.1049,27.654,280.37,65,75,12.35,TR,1615480042
336,Turbat,26.0023,63.044,295.13,60,0,1.99,PK,1615480043
337,Jumla,29.2747,82.1838,279.15,71,55,1.46,NP,1615480045
338,Richards Bay,-28.783,32.0377,298.56,81,65,6.24,ZA,1615480046
339,Boa Vista,2.8197,-60.6733,306.15,43,75,5.66,BR,1615480048
340,Plettenberg Bay,-34.0527,23.3716,292.41,79,47,6.2,ZA,1615479875
341,Leningradskiy,69.3833,178.4167,248.08,63,26,2.69,RU,1615480051
342,Camacha,33.0833,-16.3333,289.15,77,75,5.14,PT,1615480052
343,Birin,26.8865,88.0718,287.76,40,3,2.48,NP,1615480053
344,Mount Gambier,-37.8333,140.7667,284.15,100,90,1.71,AU,1615480055
345,Maragogi,-9.0122,-35.2225,302.78,64,91,5.04,BR,1615480057
346,Chipinge,-20.1883,32.6236,294.57,88,10,2.76,ZW,1615480058
347,Huaicheng,23.9051,112.1931,293.13,89,21,1.02,CN,1615480059
348,Manggar,-2.8833,108.2667,299.05,79,94,2.21,ID,1615480061
349,Severodvinsk,64.5635,39.8302,263.15,62,20,2.0,RU,1615480062
350,San Fernando del Valle de Catamarca,-28.4696,-65.7852,303.71,63,83,1.34,AR,1615480064
351,Gravdal,68.1214,13.5031,275.15,55,75,9.77,NO,1615480065
352,Maní,4.8172,-72.2886,306.21,31,74,5.68,CO,1615480067
353,Beloha,-25.1667,45.05,299.86,63,84,3.55,MG,1615480068
354,Fortuna,40.5982,-124.1573,278.71,100,1,4.12,US,1615480070
355,Impfondo,1.6381,18.0667,306.75,41,74,0.06,CG,1615480071
356,Chara,56.9064,118.2631,261.95,62,65,0.46,RU,1615480073
357,La Ronge,55.1001,-105.2842,257.15,66,100,2.06,CA,1615480074
358,Bonavista,48.6499,-53.1147,276.48,69,100,7.2,CA,1615480076
359,Karasjok,69.4719,25.5112,267.15,68,20,17.49,NO,1615480077
360,Arrondissement du Havre,49.5833,0.3333,281.48,81,75,8.23,FR,1615480079
361,Haimen,23.1935,116.6142,290.15,88,0,1.69,CN,1615480080
362,Mitú,1.1983,-70.1733,297.81,94,100,1.59,CO,1615480081
363,Gumdag,39.2061,54.5906,286.07,52,100,3.88,TM,1615480083
364,Manono,-7.3,27.4167,299.65,76,74,0.41,CD,1615480084
365,Garoowe,8.4054,48.4845,298.75,46,0,9.95,SO,1615480086
366,São Sebastião,-23.76,-45.4097,300.73,76,1,2.03,BR,1615480087
367,Petropavlovsk-Kamchatskiy,53.0452,158.6483,270.15,100,40,2.0,RU,1615480089
368,Fuerte Olimpo,-21.0415,-57.8738,308.39,33,35,3.05,PY,1615480090
369,Vanavara,60.34,102.2797,271.31,90,100,7.77,RU,1615480092
370,Rio Grande,-32.035,-52.0986,300.37,57,75,3.09,BR,1615479828
371,Norman Wells,65.282,-126.8329,259.15,85,90,3.09,CA,1615480094
372,Almeirim,-1.5233,-52.5817,302.72,66,90,1.28,BR,1615480096
373,Villiers,-27.0303,28.6006,298.63,18,0,2.33,ZA,1615480097
374,Ponta do Sol,32.6667,-17.1,292.15,59,40,4.63,PT,1615480099
375,Sur,22.5667,59.5289,298.43,41,1,2.54,OM,1615480101
376,Verkhnevilyuysk,63.4453,120.3167,256.93,97,99,1.18,RU,1615480102
377,Marabu,4.4148,114.0089,299.15,94,40,2.95,MY,1615480103
378,Gamboula,4.1178,15.1393,301.9,51,64,2.62,CF,1615480105
379,Aquiraz,-3.9014,-38.3911,304.15,70,75,5.66,BR,1615480106
380,Bonthe,7.5264,-12.505,303.04,64,29,5.26,SL,1615480108
381,Port Hedland,-20.3167,118.5667,302.15,84,30,3.09,AU,1615480109
382,Ferrol,43.4832,-8.2369,288.15,67,40,4.63,ES,1615480111
383,Innisfail,-17.5333,146.0333,296.51,91,25,1.71,AU,1615479951
384,Havelock,34.8791,-76.9013,294.26,52,20,5.66,US,1615479897
385,Anan,33.9167,134.65,281.15,76,75,0.51,JP,1615480115
386,‘Āhuimanu,21.4447,-157.8378,294.15,100,90,0.77,US,1615480116
387,Paragominas,-2.9667,-47.4833,304.14,63,100,0.97,BR,1615480118
388,Skellefteå,64.7507,20.9528,268.15,80,90,6.17,SE,1615480119
389,Cabedelo,-6.9811,-34.8339,304.15,62,40,6.69,BR,1615479846
390,Port Augusta,-32.5,137.7667,290.15,94,0,1.03,AU,1615480122
391,Half Moon Bay,37.4636,-122.4286,281.15,76,75,2.06,US,1615480124
392,Cervo,43.6702,-7.4101,287.04,72,69,3.13,ES,1615480125
393,Del Rio,29.3627,-100.8968,294.15,73,90,5.14,US,1615480127
394,Parksville,49.3163,-124.3195,279.15,68,28,4.63,CA,1615480128
395,Kailua,21.4022,-157.7394,294.15,100,90,1.03,US,1615480129
396,Hofn,64.2539,-15.2082,277.15,75,90,5.66,IS,1615480131
397,Krasnaya Gora,52.9995,31.6023,271.15,59,0,5.0,RU,1615480132
398,Port-Gentil,-0.7193,8.7815,303.15,79,40,6.11,GA,1615480134
399,Kushiro,42.975,144.3747,272.65,84,0,1.11,JP,1615480135
400,Umluj,25.0213,37.2685,299.44,52,0,2.56,SA,1615480137
401,Marsh Harbour,26.5412,-77.0636,294.91,63,3,8.75,BS,1615480138
402,Zyryanka,65.75,150.85,251.19,84,5,1.12,RU,1615480140
403,Bilibino,68.0546,166.4372,243.37,78,67,1.18,RU,1615480141
404,Virginia,37.5481,-77.4467,295.15,30,20,6.69,US,1615480143
405,San Javier,37.8063,-0.8374,292.59,68,0,8.23,ES,1615480144
406,Nizhniy Kuranakh,58.8353,125.4869,261.94,92,100,1.98,RU,1615480146
407,Rietavas,55.7194,21.9311,273.15,74,90,9.77,LT,1615480147
408,Tessalit,20.1986,1.0114,303.46,5,8,6.34,ML,1615480149
409,Taoudenni,22.6783,-3.9836,301.29,17,1,9.56,ML,1615480150
410,Salalah,17.0151,54.0924,300.15,57,0,2.06,OM,1615480080
411,Santa Rosa,14.3122,121.1114,300.15,69,20,1.03,PH,1615480153
412,Anadyr,64.75,177.4833,240.15,75,0,1.0,RU,1615480154
413,Dicabisagan,17.0818,122.4157,296.83,85,92,3.01,PH,1615480156
414,Ola,59.5833,151.2833,254.25,89,100,2.51,RU,1615480157
415,San Policarpo,12.1791,125.5072,297.99,94,100,7.31,PH,1615480159
416,Oktyabr'skiy,54.4815,53.471,255.83,94,100,3.66,RU,1615480160
417,Cefalù,38.0386,14.0229,287.04,56,0,2.24,IT,1615480162
418,Guerrero Negro,27.9769,-114.0611,287.98,58,83,6.44,MX,1615480163
419,Goderich,43.7501,-81.7165,288.15,58,100,11.83,CA,1615480165
420,Senovo,46.0236,15.4769,285.15,43,0,6.17,SI,1615480166
421,Inírida,3.8653,-67.9239,299.84,83,99,1.91,CO,1615480168
422,Mitchell,43.7094,-98.0298,273.15,80,1,4.63,US,1615480169
423,Siderno,38.2779,16.302,287.15,38,0,7.72,IT,1615480171
424,Bima,-8.4667,118.7167,297.81,90,100,1.02,ID,1615480172
425,Pontianak,-0.0333,109.3333,298.15,94,40,1.54,ID,1615479988
426,Pevek,69.7008,170.3133,246.61,73,60,7.34,RU,1615480175
427,Acaraú,-2.8856,-40.12,303.28,66,92,5.55,BR,1615480176
428,Kaitangata,-46.2817,169.8464,280.25,93,62,2.22,NZ,1615480178
429,Renfrew,55.872,-4.3925,280.15,70,20,7.72,GB,1615480179
430,Glazunovka,52.4986,36.3275,255.03,87,0,3.35,RU,1615480181
431,Hasaki,35.7333,140.8333,283.15,81,75,1.54,JP,1615480182
432,Kalmunai,7.4167,81.8167,299.89,80,80,3.87,LK,1615480184
433,Nacala,-14.5428,40.6728,298.91,90,81,3.18,MZ,1615480185
434,Celestún,20.8667,-90.4,300.15,64,0,4.95,MX,1615480187
435,Ugoofaaru,5.6667,73.0,301.46,70,81,2.74,MV,1615480188
436,Amapá,1.0,-52.0,297.59,94,100,2.25,BR,1615480190
437,Mvomero,-6.25,38.6667,303.15,66,20,6.17,TZ,1615480191
438,Marsaxlokk,35.8419,14.5431,288.15,51,20,5.14,MT,1615480193
439,Liwale,-9.7667,37.9333,296.24,94,98,0.85,TZ,1615480194
440,Malé,4.1748,73.5089,298.15,88,75,3.09,MV,1615480146
441,Hereford,52.0568,-2.7148,280.93,85,76,8.96,GB,1615480197
442,Ust-Nera,64.5667,143.2,249.42,97,88,2.93,RU,1615480198
443,Doha,25.2867,51.5333,300.15,44,0,1.54,QA,1615480039
444,Jiwani,25.05,61.7417,296.75,73,0,4.63,PK,1615480201
445,Nizhnyaya Maktama,54.8636,52.4281,257.52,96,100,2.98,RU,1615480203
446,Kavaratti,10.5669,72.642,301.87,66,63,2.38,IN,1615480204
447,Atambua,-9.1061,124.8925,296.22,89,78,0.82,ID,1615480206
448,San Rafael,-34.6177,-68.3301,296.91,31,89,3.89,AR,1615480207
449,Rognan,67.0953,15.3878,273.71,70,99,4.47,NO,1615480209
450,Samarai,-10.6167,150.6667,301.29,73,47,1.98,PG,1615480210
451,Qaqortoq,60.7167,-46.0333,269.15,54,75,1.03,GL,1615480212
452,Porto Belo,-27.1578,-48.5531,303.15,65,20,4.63,BR,1615480213
453,Hastings,50.8552,0.5729,282.04,60,93,3.58,GB,1615480215
454,Pinega,64.7001,43.3936,260.36,78,48,4.62,RU,1615480216
455,Kholtoson,50.2981,103.3097,267.84,69,0,1.67,RU,1615480218
456,Bambanglipuro,-7.95,110.2833,298.01,88,99,1.72,ID,1615480219
457,Palekastro,35.2,26.25,284.82,67,18,16.2,GR,1615480221
458,Tilichiki,60.4667,166.1,261.29,94,100,3.98,RU,1615480222
459,Fairbanks,64.8378,-147.7164,255.37,65,90,8.23,US,1615479944
460,Nishihara,26.1842,127.7558,294.15,73,20,5.14,JP,1615480225
461,Vanimo,-2.6741,141.3028,299.05,88,100,2.63,PG,1615480226
462,Pitimbu,-7.4706,-34.8086,304.15,62,40,6.69,BR,1615480228
463,Oussouye,12.485,-16.5469,309.15,51,0,3.09,SN,1615480229
464,Litovko,49.2361,135.1742,264.43,80,1,2.76,RU,1615480231
465,Viedma,-40.8135,-62.9967,296.44,19,73,4.99,AR,1615480232
466,Kolondiéba,11.0882,-6.8926,311.41,10,0,3.07,ML,1615480233
467,Batemans Bay,-35.7167,150.1833,293.15,92,75,0.45,AU,1615480235
468,Mogzon,51.7435,111.9606,263.76,82,0,0.59,RU,1615480236
469,Nanortalik,60.1432,-45.2371,267.77,71,59,5.67,GL,1615480238
470,Ankazoabo,-22.2833,44.5167,296.64,81,27,2.24,MG,1615480239
471,Vologda,59.2187,39.8886,258.78,95,58,2.95,RU,1615479980
472,Movileni,44.3667,24.65,274.82,86,40,2.06,RO,1615480242
473,Vao,-22.6667,167.4833,297.59,73,8,7.82,NC,1615480243
474,Alice Springs,-23.7,133.8833,297.15,88,100,1.03,AU,1615480245
475,Talnakh,69.4865,88.3972,239.16,95,57,2.62,RU,1615480246
476,Yangambi,0.8102,24.4336,300.93,59,70,0.99,CD,1615480248
477,Vardø,70.3705,31.1107,264.15,86,20,3.6,NO,1615480249
478,Kurchum,48.5722,83.6542,268.48,94,74,0.9,KZ,1615480251
479,Bosaso,11.2842,49.1816,298.97,74,0,1.54,SO,1615480252
480,Jieshi,22.8134,115.8257,294.26,82,10,2.65,CN,1615480254
481,Sauce,-34.6469,-56.0628,302.15,44,0,3.6,UY,1615480255
482,Bandarbeyla,9.4942,50.8122,298.86,73,0,4.84,SO,1615480257
483,Constitución,-35.3333,-72.4167,293.77,56,0,6.83,CL,1615480259
484,Sault Ste. Marie,46.5168,-84.3333,277.15,70,90,11.32,CA,1615480102
485,Nur-Sultan,51.1801,71.446,259.15,78,40,10.0,KZ,1615480261
486,Tautira,-17.7333,-149.15,299.15,83,75,1.54,PF,1615480263
487,Chake Chake,-5.2459,39.7666,299.18,79,0,6.65,TZ,1615480264
488,Pierre,44.3683,-100.351,277.59,80,1,2.57,US,1615479974
489,Walvis Bay,-22.9575,14.5053,301.15,47,0,5.66,NA,1615480267
490,Tabuk,17.4189,121.4443,293.95,92,34,0.85,PH,1615480269
491,Suntar,62.1444,117.6319,261.13,94,100,2.4,RU,1615480270
492,Pak Phanang,8.3511,100.202,299.48,77,38,2.51,TH,1615480272
493,Blackwater,-23.5833,148.8833,295.05,82,8,3.66,AU,1615480273
494,Oskarshamn,57.2645,16.4484,273.71,94,100,4.02,SE,1615480275
495,Tucupita,9.0622,-62.051,301.64,70,23,3.4,VE,1615480276
496,Peleduy,59.6289,112.7406,272.98,96,100,7.02,RU,1615480278
497,Omsukchan,62.5333,155.8,247.74,80,55,0.6,RU,1615480279
498,Tiarei,-17.5333,-149.3333,299.15,83,75,1.54,PF,1615480281
499,Chamba,32.5667,76.1333,288.71,40,95,4.36,IN,1615480283
500,Udachny,66.4167,112.4,245.29,89,46,2.01,RU,1615480284
501,Gizo Government Station,-8.103,156.8419,300.43,77,98,1.95,SB,1615480285
502,Kumul,42.8,93.45,284.3,24,21,2.12,CN,1615480287
503,Watertown,42.3709,-71.1828,287.04,62,1,5.66,US,1615480280
504,Ilo,-17.6394,-71.3375,298.15,61,0,5.14,PE,1615480290
505,Moose Factory,51.2585,-80.6094,264.15,86,90,5.66,CA,1615480291
506,São Raimundo Nonato,-9.0153,-42.6994,304.38,51,45,2.58,BR,1615480293
507,Emerald,-23.5333,148.1667,296.15,88,15,4.12,AU,1615480294
508,Leh,34.1667,77.5833,272.1,50,75,2.55,IN,1615480088
509,Sorong,-0.8833,131.25,297.99,90,100,2.0,ID,1615480297
510,Mongo,12.1844,18.693,306.61,6,60,3.11,TD,1615480299
511,Katherine,-14.4667,132.2667,298.15,94,75,1.54,AU,1615480300
512,Shingū,33.7333,135.9833,283.49,81,97,2.25,JP,1615480302
513,Várzea Grande,-15.6467,-56.1325,304.15,58,40,6.17,BR,1615480303
514,Tigil',57.8,158.6667,266.58,84,100,3.98,RU,1615480305
515,Kaeo,-35.1,173.7833,287.04,92,14,1.63,NZ,1615480306
516,Morros,-9.4467,-46.3003,303.92,54,48,0.99,BR,1615480308
517,Isangel,-19.55,169.2667,296.15,94,20,5.19,VU,1615480309
518,Kidderminster,52.3882,-2.25,282.04,85,84,0.89,GB,1615480311
519,Beira,-19.8436,34.8389,302.04,83,20,5.66,MZ,1615480312
520,Colares,38.7992,-9.4469,289.26,63,75,4.12,PT,1615480314
521,Port Keats,-14.25,129.55,298.11,81,100,1.96,AU,1615480315
522,Sambava,-14.2667,50.1667,299.35,85,6,3.13,MG,1615480316
523,Muros,42.7762,-9.0603,288.15,64,100,2.68,ES,1615480318
524,Orlik,52.5178,99.825,262.59,58,100,0.76,RU,1615480319
525,Mogoytuy,51.2833,114.9167,262.83,92,0,1.66,RU,1615480321
526,Chapais,49.7834,-74.8492,277.15,93,90,5.14,CA,1615480323
527,Alvdal,62.1077,10.6307,270.15,80,75,4.12,NO,1615480324
528,Aleksandrov Gay,50.147,48.5704,255.18,89,0,2.84,RU,1615480326
529,Faya,18.3851,42.4509,293.15,77,0,5.14,SA,1615480327
530,Ternate,0.8,127.4,300.39,81,24,2.63,ID,1615480328
531,Bull Savanna,17.8868,-77.5902,300.17,61,0,4.5,JM,1615480330
532,West Des Moines,41.572,-93.7453,278.71,70,75,7.72,US,1615480216
533,Saint-Pierre,-21.3393,55.4781,299.15,65,0,6.17,RE,1615480333
534,Spirit River,55.7833,-118.8361,265.93,56,89,2.06,CA,1615480334
535,Mahanje,-9.9333,35.3333,293.02,92,15,1.73,TZ,1615480336
536,Trairi,-3.2778,-39.2689,302.85,71,100,5.58,BR,1615480193
537,Mogadishu,2.0371,45.3438,299.4,82,17,9.12,SO,1615480338
538,Oriximiná,-1.7656,-55.8661,301.95,71,86,1.89,BR,1615480340
539,Dixon,38.4455,-121.8233,281.48,87,1,5.14,US,1615480297
540,Miami Beach,25.7906,-80.1301,299.15,53,75,10.8,US,1615480281
541,Lima,-12.0432,-77.0282,298.71,69,3,3.6,PE,1615480328
542,Ust-Kuyga,70.0167,135.6,248.68,83,100,2.26,RU,1615480345
543,Phek,25.6667,94.5,282.1,59,4,0.44,IN,1615480347
544,Songjianghe,42.1859,127.479,275.1,85,100,0.96,CN,1615480348
545,Zhezkazgan,47.8043,67.7144,261.7,84,99,2.85,KZ,1615480349
546,Nanning,22.8167,108.3167,290.15,88,90,2.0,CN,1615480351
547,Vaitape,-16.5167,-151.75,300.93,76,53,5.74,PF,1615480352
548,Aksarayskiy,46.7924,48.0119,267.04,42,0,5.0,RU,1615480354
549,Shimoda,34.6667,138.95,281.48,91,94,3.43,JP,1615480355
550,Bako,5.7833,36.5667,296.38,45,44,1.7,ET,1615480357
551,Pingliang,35.5392,106.6861,280.93,26,0,2.24,CN,1615480358
552,Uíge,-7.6087,15.0613,301.15,69,75,5.14,AO,1615480360
553,Connersville,39.6412,-85.1411,290.37,74,100,1.79,US,1615480361
554,Tallahassee,30.4383,-84.2807,297.04,43,20,4.63,US,1615480230
555,Nuevo Progreso,23.1667,-97.95,299.26,75,33,4.92,MX,1615480364
556,Shepetivka,50.1855,27.0637,271.54,59,69,6.31,UA,1615480366
557,Lorengau,-2.0226,147.2712,300.62,69,53,2.65,PG,1615480367
558,Grand Gaube,-20.0064,57.6608,299.82,73,0,3.13,MU,1615480368
559,Nsanje,-16.92,35.262,298.11,91,22,1.6,MW,1615480370
560,Saurimo,-9.6608,20.3916,307.15,40,40,1.56,AO,1615480371
561,Moranbah,-22.0016,148.0466,295.41,84,0,5.58,AU,1615480373
562,Knokke-Heist,51.3333,3.3333,283.71,76,20,15.95,BE,1615480374
563,Léo,11.1,-2.1,309.3,20,58,1.93,BF,1615480376
564,Petropavl,54.8753,69.1628,260.05,92,100,7.63,KZ,1615480377
565,Andros,37.8333,24.9333,283.15,65,95,9.39,GR,1615480379
566,Terrace,54.5163,-128.6035,272.15,80,90,1.03,CA,1615480205
567,Holetown,13.1867,-59.6381,302.15,58,75,11.32,BB,1615480381
